timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:49:49,27830,7686.00000000,7686.50000000,20490
2020-04-28 08:49:59,44250,7686.00000000,7686.50000000,470
2020-04-28 08:50:09,75380,7686.00000000,7686.50000000,70
2020-04-28 08:50:19,29280,7686.00000000,7686.50000000,12300
2020-04-28 08:50:29,56080,7686.50000000,7687.00000000,1000
2020-04-28 08:50:39,71550,7686.50000000,7687.50000000,1090
2020-04-28 08:50:49,113050,7686.50000000,7687.50000000,70
2020-04-28 08:50:59,41180,7687.00000000,7687.50000000,17570
2020-04-28 08:51:09,33780,7687.00000000,7688.00000000,1090
2020-04-28 08:51:19,60280,7687.50000000,7688.00000000,3070
2020-04-28 08:51:29,75730,7687.50000000,7688.00000000,70
2020-04-28 08:51:39,63520,7690.00000000,7691.00000000,30
2020-04-28 08:51:49,18750,7690.00000000,7690.50000000,45060
2020-04-28 08:51:59,25550,7690.00000000,7690.50000000,4860
2020-04-28 08:52:09,30260,7691.00000000,7691.50000000,31830
2020-04-28 08:52:19,18160,7691.00000000,7691.50000000,31760
2020-04-28 08:52:29,18160,7691.00000000,7691.50000000,27920
2020-04-28 08:52:39,16560,7691.00000000,7691.50000000,27920
2020-04-28 08:52:49,20160,7691.00000000,7691.50000000,27920
2020-04-28 08:52:59,16230,7691.00000000,7691.50000000,27990
2020-04-28 08:53:09,16230,7691.00000000,7691.50000000,27990
2020-04-28 08:53:19,31630,7691.00000000,7691.50000000,27990
2020-04-28 08:53:29,70,7690.50000000,7691.00000000,101470
2020-04-28 08:53:39,70,7690.50000000,7691.00000000,116920
2020-04-28 08:53:49,4960,7690.00000000,7690.50000000,37820
2020-04-28 08:53:59,6960,7690.00000000,7690.50000000,39520
2020-04-28 08:54:09,60,7690.00000000,7690.50000000,104170
2020-04-28 08:54:19,1060,7690.00000000,7690.50000000,104750
2020-04-28 08:54:29,60,7690.00000000,7690.50000000,64500
2020-04-28 08:54:39,9930,7690.00000000,7690.50000000,66140
2020-04-28 08:54:49,11630,7690.00000000,7690.50000000,30490
2020-04-28 08:54:59,1060,7690.00000000,7690.50000000,66140
2020-04-28 08:55:09,130,7690.00000000,7690.50000000,81450
2020-04-28 08:55:19,130,7690.00000000,7690.50000000,81520
2020-04-28 08:55:29,1130,7690.00000000,7690.50000000,81520
2020-04-28 08:55:39,2830,7690.00000000,7690.50000000,78900
2020-04-28 08:55:49,4530,7690.00000000,7690.50000000,34290
2020-04-28 08:55:59,1130,7690.00000000,7690.50000000,41200
2020-04-28 08:56:09,7790,7690.00000000,7690.50000000,32400
2020-04-28 08:56:19,53870,7690.00000000,7690.50000000,70
2020-04-28 08:56:29,47000,7690.00000000,7691.00000000,160
2020-04-28 08:56:39,37580,7690.00000000,7690.50000000,21520
2020-04-28 08:56:49,80,7690.00000000,7690.50000000,93970
2020-04-28 08:56:59,80,7690.00000000,7690.50000000,73520
2020-04-28 08:57:09,21380,7690.00000000,7690.50000000,22500
2020-04-28 08:57:19,17650,7690.00000000,7690.50000000,24090
2020-04-28 08:57:29,150,7690.00000000,7690.50000000,68460
2020-04-28 08:57:39,100,7690.00000000,7690.50000000,65560
2020-04-28 08:57:49,80,7690.00000000,7690.50000000,59790
2020-04-28 08:57:59,80,7690.00000000,7690.50000000,61290
2020-04-28 08:58:09,150,7690.00000000,7690.50000000,63700
2020-04-28 08:58:19,6150,7690.00000000,7690.50000000,57560
2020-04-28 08:58:29,150,7690.00000000,7690.50000000,59860
2020-04-28 08:58:39,150,7690.00000000,7690.50000000,59860
2020-04-28 08:58:49,150,7690.00000000,7690.50000000,59860
2020-04-28 08:58:59,150,7690.00000000,7690.50000000,59860
2020-04-28 08:59:09,150,7690.00000000,7690.50000000,59860
2020-04-28 08:59:19,150,7690.00000000,7690.50000000,59860
2020-04-28 08:59:29,150,7690.00000000,7690.50000000,59860
2020-04-28 08:59:39,140,7690.00000000,7690.50000000,65760
2020-04-28 08:59:49,440,7690.00000000,7690.50000000,60360
2020-04-28 08:59:59,2110,7687.00000000,7687.50000000,81320
2020-04-28 09:00:09,3440,7687.00000000,7687.50000000,56950
2020-04-28 09:00:19,12840,7687.00000000,7687.50000000,61950
2020-04-28 09:00:29,1940,7687.00000000,7687.50000000,61560
2020-04-28 09:00:39,2940,7687.00000000,7687.50000000,81960
2020-04-28 09:00:49,40,7687.00000000,7687.50000000,82560
2020-04-28 09:00:59,8510,7687.00000000,7687.50000000,77560
2020-04-28 09:01:09,1110,7687.00000000,7687.50000000,82630
2020-04-28 09:01:19,20310,7687.00000000,7687.50000000,63130
2020-04-28 09:01:29,15010,7687.00000000,7687.50000000,63130
2020-04-28 09:01:39,16220,7687.00000000,7687.50000000,60830
2020-04-28 09:01:49,10620,7687.00000000,7687.50000000,60830
2020-04-28 09:01:59,26240,7687.00000000,7687.50000000,32240
2020-04-28 09:02:09,15840,7687.00000000,7687.50000000,33740
2020-04-28 09:02:19,64880,7687.50000000,7688.00000000,70
2020-04-28 09:02:29,66870,7688.50000000,7689.00000000,90
2020-04-28 09:02:39,67370,7688.50000000,7689.00000000,20
2020-04-28 09:02:49,67370,7688.50000000,7689.00000000,20
2020-04-28 09:02:59,85170,7689.00000000,7689.50000000,90
2020-04-28 09:03:09,66770,7690.50000000,7691.00000000,160
2020-04-28 09:03:19,82120,7690.50000000,7691.00000000,20
2020-04-28 09:03:29,31250,7690.50000000,7691.00000000,15020
2020-04-28 09:03:39,38350,7690.50000000,7691.00000000,8020
